time,open,high,low,close,Volume,Volume MA
1580767200,0.66917,0.67419,0.66787,0.67385,164407,144383.65
1580853600,0.67385,0.67743,0.67236,0.67457,168178,140810.95
1580940000,0.67457,0.67651,0.67271,0.67293,135050,141803.05
1581026400,0.67293,0.67367,0.66622,0.66781,139318,142441.35
1581285600,0.66665,0.67074,0.6665,0.66863,152683,144263.15
1581372000,0.66863,0.67367,0.6680699999999999,0.67142,130220,143992.55
1581458400,0.67142,0.67501,0.67117,0.67371,131696,144617.1
1581544800,0.67371,0.67457,0.6707,0.67192,142405,145805.1
1581631200,0.67192,0.67316,0.67092,0.6714,96817,145071.65
1581890400,0.67213,0.6733399999999999,0.67115,0.6713,69541,144131.65
1581976800,0.6713,0.67152,0.66736,0.66853,110221,142707.75
1582063200,0.66853,0.67076,0.66653,0.6676799999999999,96758,140876.05
1582149600,0.6676799999999999,0.66943,0.6610199999999999,0.6614099999999999,164603,140753.9
1582236000,0.6614099999999999,0.66389,0.65859,0.66245,146035,141559.05
1582495200,0.65849,0.66198,0.6584599999999999,0.66025,184300,141320.55
1582581600,0.66025,0.66225,0.6586299999999999,0.66023,175226,142948.35
1582668000,0.66023,0.6607,0.65425,0.6544,199368,146196.8
1582754400,0.6544,0.6592,0.65422,0.65687,229977,149102.55
1582840800,0.65687,0.65854,0.64338,0.65073,385524,160139.15
1583100000,0.64647,0.65681,0.64625,0.65352,308885,166560.6
1583186400,0.65352,0.66457,0.6509699999999999,0.65834,321245,174402.5
1583272800,0.65834,0.66278,0.6577,0.66269,210339,176510.55
1583359200,0.66269,0.66367,0.65839,0.6614,147160,177116.05
1583445600,0.6614,0.66574,0.65853,0.66454,207311,180515.7
1583701200,0.6605,0.66849,0.6314299999999999,0.65845,491192,197441.15
1583787600,0.65845,0.66127,0.64626,0.65042,410419,211451.1
1583874000,0.65042,0.65395,0.64765,0.64837,333354,221534
1583960400,0.64837,0.64921,0.62115,0.62353,623028,245565.15
